date,vaccine_type,vaccine_count
27/05/2021,Sinopharm,0
27/05/2021,Cansino,0
28/05/2021,Pfizer,33346
28/05/2021,Sinovac,27805
28/05/2021,Astra,13470
28/05/2021,Sinopharm,0
28/05/2021,Cansino,0
29/05/2021,Pfizer,30125
29/05/2021,Sinovac,22545
29/05/2021,Astra,13571
29/05/2021,Sinopharm,0
29/05/2021,Cansino,0
30/05/2021,Pfizer,26922
30/05/2021,Sinovac,22620
30/05/2021,Astra,13341
30/05/2021,Sinopharm,0
30/05/2021,Cansino,0
31/05/2021,Pfizer,48982
31/05/2021,Sinovac,33843
31/05/2021,Astra,13601
31/05/2021,Sinopharm,0
31/05/2021,Cansino,0
01/06/2021,Pfizer,52006
01/06/2021,Sinovac,33927
01/06/2021,Astra,14058
01/06/2021,Sinopharm,0
01/06/2021,Cansino,0
02/06/2021,Pfizer,44287
02/06/2021,Sinovac,48176
02/06/2021,Astra,14547
02/06/2021,Sinopharm,0
02/06/2021,Cansino,0
03/06/2021,Pfizer,42176
03/06/2021,Sinovac,62379
03/06/2021,Astra,14821
03/06/2021,Sinopharm,0
03/06/2021,Cansino,0
04/06/2021,Pfizer,30345
04/06/2021,Sinovac,45331
04/06/2021,Astra,15826
04/06/2021,Sinopharm,0
04/06/2021,Cansino,0
05/06/2021,Pfizer,35552
05/06/2021,Sinovac,22808
05/06/2021,Astra,15299
05/06/2021,Sinopharm,0
05/06/2021,Cansino,0
06/06/2021,Pfizer,40188
06/06/2021,Sinovac,28592
06/06/2021,Astra,14049
06/06/2021,Sinopharm,0
06/06/2021,Cansino,0
07/06/2021,Pfizer,14873
07/06/2021,Sinovac,32818
07/06/2021,Astra,18270
07/06/2021,Sinopharm,0
07/06/2021,Cansino,0
08/06/2021,Pfizer,92657
08/06/2021,Sinovac,41669
08/06/2021,Astra,20659
08/06/2021,Sinopharm,0
08/06/2021,Cansino,0
09/06/2021,Pfizer,93082
09/06/2021,Sinovac,48162
09/06/2021,Astra,15954
09/06/2021,Sinopharm,0
09/06/2021,Cansino,0
10/06/2021,Pfizer,85026
10/06/2021,Sinovac,54658
10/06/2021,Astra,21678
10/06/2021,Sinopharm,0
10/06/2021,Cansino,1
11/06/2021,Pfizer,49703
11/06/2021,Sinovac,52296
11/06/2021,Astra,24428
11/06/2021,Sinopharm,0
11/06/2021,Cansino,0
12/06/2021,Pfizer,54679
12/06/2021,Sinovac,62295
12/06/2021,Astra,20599
12/06/2021,Sinopharm,0
12/06/2021,Cansino,0
13/06/2021,Pfizer,55718
13/06/2021,Sinovac,54570
13/06/2021,Astra,21739
13/06/2021,Sinopharm,0
13/06/2021,Cansino,0
14/06/2021,Pfizer,80204
14/06/2021,Sinovac,98745
14/06/2021,Astra,25053
14/06/2021,Sinopharm,0
14/06/2021,Cansino,0
15/06/2021,Pfizer,83995
15/06/2021,Sinovac,114667
15/06/2021,Astra,24447
15/06/2021,Sinopharm,0
15/06/2021,Cansino,0
16/06/2021,Pfizer,74256
16/06/2021,Sinovac,116317
16/06/2021,Astra,23893
16/06/2021,Sinopharm,0
16/06/2021,Cansino,0
17/06/2021,Pfizer,78549
17/06/2021,Sinovac,125250
17/06/2021,Astra,25755
17/06/2021,Sinopharm,0
17/06/2021,Cansino,0
18/06/2021,Pfizer,55441
18/06/2021,Sinovac,104998
18/06/2021,Astra,25270
18/06/2021,Sinopharm,0
18/06/2021,Cansino,0
19/06/2021,Pfizer,68368
19/06/2021,Sinovac,83966
19/06/2021,Astra,19864
19/06/2021,Sinopharm,0
19/06/2021,Cansino,0
20/06/2021,Pfizer,46388
20/06/2021,Sinovac,81321
20/06/2021,Astra,19017
20/06/2021,Sinopharm,0
20/06/2021,Cansino,0
21/06/2021,Pfizer,72944
21/06/2021,Sinovac,146860
21/06/2021,Astra,25806
21/06/2021,Sinopharm,2
21/06/2021,Cansino,0
22/06/2021,Pfizer,79226
22/06/2021,Sinovac,157469
22/06/2021,Astra,23596
22/06/2021,Sinopharm,0
22/06/2021,Cansino,0
23/06/2021,Pfizer,74072
23/06/2021,Sinovac,168309
23/06/2021,Astra,22995
23/06/2021,Sinopharm,0
23/06/2021,Cansino,0
24/06/2021,Pfizer,70608
24/06/2021,Sinovac,184139
24/06/2021,Astra,23054
24/06/2021,Sinopharm,0
24/06/2021,Cansino,0
25/06/2021,Pfizer,55228
25/06/2021,Sinovac,145983
25/06/2021,Astra,21953
25/06/2021,Sinopharm,0
25/06/2021,Cansino,0
26/06/2021,Pfizer,68519
26/06/2021,Sinovac,112014
26/06/2021,Astra,18343
26/06/2021,Sinopharm,0
26/06/2021,Cansino,1
27/06/2021,Pfizer,60983
27/06/2021,Sinovac,100511
27/06/2021,Astra,16475
27/06/2021,Sinopharm,0
27/06/2021,Cansino,0
28/06/2021,Pfizer,53317
28/06/2021,Sinovac,135908
28/06/2021,Astra,20850
28/06/2021,Sinopharm,0
28/06/2021,Cansino,0
29/06/2021,Pfizer,80533
29/06/2021,Sinovac,142812
29/06/2021,Astra,20994
29/06/2021,Sinopharm,0
29/06/2021,Cansino,0
30/06/2021,Pfizer,86457
30/06/2021,Sinovac,163055
30/06/2021,Astra,21312
30/06/2021,Sinopharm,0
30/06/2021,Cansino,0
01/07/2021,Pfizer,74999
01/07/2021,Sinovac,173942
01/07/2021,Astra,21420
01/07/2021,Sinopharm,0
01/07/2021,Cansino,1
02/07/2021,Pfizer,58385
02/07/2021,Sinovac,160508
02/07/2021,Astra,22026
02/07/2021,Sinopharm,0
02/07/2021,Cansino,0
03/07/2021,Pfizer,64840
03/07/2021,Sinovac,140714
03/07/2021,Astra,18631
03/07/2021,Sinopharm,0
03/07/2021,Cansino,0
04/07/2021,Pfizer,69865
04/07/2021,Sinovac,127070
04/07/2021,Astra,18945
04/07/2021,Sinopharm,0
04/07/2021,Cansino,0
05/07/2021,Pfizer,88790
05/07/2021,Sinovac,216920
05/07/2021,Astra,22354
05/07/2021,Sinopharm,0
05/07/2021,Cansino,0
06/07/2021,Pfizer,95914
06/07/2021,Sinovac,238636
06/07/2021,Astra,21816
06/07/2021,Sinopharm,0
06/07/2021,Cansino,0
07/07/2021,Pfizer,103016
07/07/2021,Sinovac,266416
07/07/2021,Astra,25939
07/07/2021,Sinopharm,0
07/07/2021,Cansino,0
08/07/2021,Pfizer,99444
08/07/2021,Sinovac,266225
08/07/2021,Astra,24982
08/07/2021,Sinopharm,0
08/07/2021,Cansino,0
09/07/2021,Pfizer,84394
09/07/2021,Sinovac,240719
09/07/2021,Astra,25381
09/07/2021,Sinopharm,0
09/07/2021,Cansino,0
10/07/2021,Pfizer,101281
10/07/2021,Sinovac,213305
10/07/2021,Astra,21981
10/07/2021,Sinopharm,0
10/07/2021,Cansino,0
11/07/2021,Pfizer,88273
11/07/2021,Sinovac,188137
11/07/2021,Astra,21819
11/07/2021,Sinopharm,0
11/07/2021,Cansino,0
12/07/2021,Pfizer,120492
12/07/2021,Sinovac,289907
12/07/2021,Astra,24539
12/07/2021,Sinopharm,0
12/07/2021,Cansino,0
13/07/2021,Pfizer,116926
